!	:! filter lines or execute an external command
!!	:!! repeat last `:!` command
#	:# same as `:number`
&	:& repeat last `:substitute`
star	:* execute contents of a register
<	:< shift lines one 'shiftwidth' left
=	:= print the cursor line number
>	:> shift lines one 'shiftwidth' right
@	:@ execute contents of a register
@@	:@@ repeat the previous `:@`
Next	:N[ext] go to previous file in the argument list
Print	:P[rint] print lines
X	:X ask for encryption key
append	:a[ppend] append text
abbreviate	:ab[breviate] enter abbreviation
abclear	:abc[lear] remove all abbreviations
aboveleft	:abo[veleft] make split window appear left or above
all	:al[l] open a window for each file in the argument list
amenu	:am[enu] enter new menu item for all modes
anoremenu	:an[oremenu] enter a new menu for all modes that will not be remapped
args	:ar[gs] print the argument list
argadd	:arga[dd] add items to the argument list
argdelete	:argd[elete] delete items from the argument list
argedit	:arge[dit] add item to the argument list and edit it
argdo	:argdo do a command on all items in the argument list
argglobal	:argg[lobal] define the global argument list
arglocal	:argl[ocal] define a local argument list
argument	:argu[ment] go to specific file in the argument list
ascii	:as[cii] print ascii value of character under the cursor
autocmd	:au[tocmd] enter or show autocommands
augroup	:aug[roup] select the autocommand group to use
aunmenu	:aun[menu] remove menu for all modes
buffer	:b[uffer] go to specific buffer in the buffer list
bNext	:bN[ext] go to previous buffer in the buffer list
ball	:ba[ll] open a window for each buffer in the buffer list
badd	:bad[d] add buffer to the buffer list
bdelete	:bd[elete] remove a buffer from the buffer list
behave	:be[have] set mouse and selection behavior
belowright	:bel[owright] make split window appear right or below
bfirst	:bf[irst] go to first buffer in the buffer list
blast	:bl[ast] go to last buffer in the buffer list
bmodified	:bm[odified] go to next buffer in the buffer list that has been modified
bnext	:bn[ext] go to next buffer in the buffer list
botright	:bo[tright] make split window appear at bottom or far right
bprevious	:bp[revious] go to previous buffer in the buffer list
brewind	:br[ewind] go to first buffer in the buffer list
break	:brea[k] break out of while loop
breakadd	:breaka[dd] add a debugger breakpoint
breakdel	:breakd[el] delete a debugger breakpoint
breaklist	:breakl[ist] list debugger breakpoints
browse	:bro[wse] use file selection dialog
bufdo	:bufdo execute command in each listed buffer
buffers	:buffers list all files in the buffer list
bunload	:bun[load] unload a specific buffer
bwipeout	:bw[ipeout] really delete a buffer
change	:c[hange] replace a line or series of lines
cNext	:cN[ext] go to previous error
cNfile	:cNf[ile] go to last error in previous file
cabbrev	:ca[bbrev] like `:abbreviate` but for Command-line mode
cabclear	:cabc[lear] clear all abbreviations for Command-line mode
caddbuffer	:caddb[uffer] add errors from buffer
caddexpr	:cad[dexpr] add errors from expr
caddfile	:caddf[ile] add error message to current quickfix list
call	:cal[l] call a function
catch	:cat[ch] part of a :try command
cbuffer	:cb[uffer] parse error messages and jump to first error
cc	:cc go to specific error
cclose	:ccl[ose] close quickfix window
cd	:cd change directory
center	:ce[nter] format lines at the center
cexpr	:cex[pr] read errors from expr and jump to first
cfile	:cf[ile] read file with error messages and jump to first
cfirst	:cfir[st] go to the specified error, default first one
cgetbuffer	:cgetb[uffer] get errors from buffer
cgetexpr	:cgete[xpr] get errors from expr
cgetfile	:cg[etfile] read file with error messages
changes	:cha[nges] print the change list
chdir	:chd[ir] change directory
checkpath	:che[ckpath] list included files
checktime	:checkt[ime] check timestamp of loaded buffers
clist	:cl[ist] list all errors
clast	:cla[st] go to the specified error, default last one
close	:clo[se] close current window
cmap	:cm[ap] like `:map` but for Command-line mode
cmapclear	:cmapc[lear] clear all mappings for Command-line mode
cmenu	:cme[nu] add menu for Command-line mode
cnext	:cn[ext] go to next error
cnewer	:cnew[er] go to newer error list
cnfile	:cnf[ile] go to first error in next file
cnoremap	:cno[remap] like `:noremap` but for Command-line mode
cnoreabbrev	:cnorea[bbrev] like `:noreabbrev` but for Command-line mode
cnoremenu	:cnoreme[nu] like `:noremenu` but for Command-line mode
copy	:co[py] copy lines
colder	:col[der] go to older error list
colorscheme	:colo[rscheme] load a specific color scheme
command	:com[mand] create user-defined command
comclear	:comc[lear] clear all user-defined commands
compiler	:comp[iler] do settings for a specific compiler
continue	:con[tinue] go back to :while
confirm	:conf[irm] prompt user when confirmation required
copen	:cope[n] open quickfix window
cprevious	:cp[revious] go to previous error
cpfile	:cpf[ile] go to last error in previous file
cquit	:cq[uit] quit Vim with an error code
crewind	:cr[ewind] go to the specified error, default first one
cscope	:cs[cope] execute cscope command
cstag	:cst[ag] use cscope to jump to a tag
cunmap	:cu[nmap] like `:unmap` but for Command-line mode
cunabbrev	:cuna[bbrev] like `:unabbrev` but for Command-line mode
cunmenu	:cunme[nu] remove menu for Command-line mode
